014254	1.0174
015790	1.2915
016708	0
005911	2.5607
006328	1.1190
007474	0
014275	1.7217
519185	1.7060
019237	0
004997	1.4784
005888	2.0620
019239	0
012538	0
023919	0
110022	3.4890
001593	0
018125	2.2234
018490	0
015897	0
001532	4.6430
024749	0
004815	2.1874
007497	2.8568
024002	0
012901	0
161728	1.4277
012862	0
003884	0
003095	1.8282
016858	2.9717
023917	0
007950	3.4476
013859	1.3511
012762	0
024078	0
017481	0
019875	0
024616	0
001595	0
024195	0
020705	0
008056	0
270002	1.6575
001917	3.5712
163406	2.1166
016631	0
024614	0
519702	5.1608
